 id , timestamp , ax , ay , az , gx , gy , gz , mx , my , mz , t , p , h , l , n 
CISS_1_244B2207551B8950,1573311888909,,,,0,0,0,,,,,,,,
CISS_1_244B2207551B8950,1573311888969,,,,,,,,,,26.9,,,,
CISS_1_244B2207551B8950,1573311888969,,,,,,,,,,,,47.9,,
CISS_1_244B2207551B8950,1573311888969,,,,,,,,,,,1006.45,,,
CISS_1_244B2207551B8950,1573311888969,,,,,,,,,,,,,0,
CISS_1_244B2207551B8950,1573311889008,638,42,-815,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311889009,,,,,,,16,-42,34,,,,,
CISS_1_244B2207551B8950,1573311889010,,,,0,0,0,,,,,,,,
CISS_1_244B2207551B8950,1573311889107,632,50,-808,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311889109,,,,,,,17,-43,33,,,,,
CISS_1_244B2207551B8950,1573311889109,,,,0,0,0,,,,,,,,
CISS_1_244B2207551B8950,1573311889207,628,42,-819,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311889208,,,,,,,17,-40,31,,,,,
CISS_1_244B2207551B8950,1573311889209,,,,0,0,0,,,,,,,,
CISS_1_244B2207551B8950,1573311889307,642,40,-810,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311889307,,,,,,,21,-41,30,,,,,
CISS_1_244B2207551B8950,1573311889309,,,,0,0,0,,,,,,,,
CISS_1_244B2207551B8950,1573311889406,632,48,-815,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311889407,,,,,,,9,-44,26,,,,,
CISS_1_244B2207551B8950,1573311889408,,,,0,0,0,,,,,,,,
CISS_1_244B2207551B8950,1573311889506,634,50,-815,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311889507,,,,,,,18,-41,31,,,,,
CISS_1_244B2207551B8950,1573311889507,,,,0,0,0,,,,,,,,
CISS_1_244B2207551B8950,1573311889605,638,50,-819,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311889606,,,,,,,15,-42,32,,,,,
CISS_1_244B2207551B8950,1573311889608,,,,0,0,0,,,,,,,,
CISS_1_244B2207551B8950,1573311889705,634,44,-815,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311889706,,,,,,,18,-43,35,,,,,
CISS_1_244B2207551B8950,1573311889706,,,,0,0,0,,,,,,,,
CISS_1_244B2207551B8950,1573311889805,644,39,-813,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311889806,,,,,,,14,-42,29,,,,,
CISS_1_244B2207551B8950,1573311889806,,,,0,0,0,,,,,,,,
CISS_1_244B2207551B8950,1573311889904,644,39,-813,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311889905,,,,,,,18,-41,33,,,,,
CISS_1_244B2207551B8950,1573311889906,,,,0,0,0,,,,,,,,
CISS_1_244B2207551B8950,1573311889969,,,,,,,,,,26.9,,,,
CISS_1_244B2207551B8950,1573311889969,,,,,,,,,,,,47.89,,
CISS_1_244B2207551B8950,1573311889969,,,,,,,,,,,1006.38,,,
CISS_1_244B2207551B8950,1573311889969,,,,,,,,,,,,,0,
CISS_1_244B2207551B8950,1573311890004,632,52,-813,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311890005,,,,,,,17,-42,31,,,,,
CISS_1_244B2207551B8950,1573311890005,,,,0,0,0,,,,,,,,
CISS_1_244B2207551B8950,1573311890103,636,48,-819,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311890104,,,,,,,17,-43,34,,,,,
CISS_1_244B2207551B8950,1573311890105,,,,0,0,0,,,,,,,,
CISS_1_244B2207551B8950,1573311890203,630,44,-812,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311890204,,,,,,,12,-41,28,,,,,
CISS_1_244B2207551B8950,1573311890204,,,,0,0,0,,,,,,,,
CISS_1_244B2207551B8950,1573311890303,640,50,-813,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311890304,,,,,,,15,-44,28,,,,,
CISS_1_244B2207551B8950,1573311890304,,,,0,0,0,,,,,,,,
CISS_1_244B2207551B8950,1573311890402,630,40,-817,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311890403,,,,,,,13,-42,31,,,,,
CISS_1_244B2207551B8950,1573311890404,,,,0,0,0,,,,,,,,
CISS_1_244B2207551B8950,1573311890502,632,33,-813,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311890503,,,,,,,13,-41,30,,,,,
CISS_1_244B2207551B8950,1573311890503,,,,0,0,0,,,,,,,,
CISS_1_244B2207551B8950,1573311890602,632,46,-810,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311890602,,,,,,,16,-43,29,,,,,
CISS_1_244B2207551B8950,1573311890603,,,,0,0,0,,,,,,,,
CISS_1_244B2207551B8950,1573311890701,638,40,-815,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311890702,,,,,,,15,-42,29,,,,,
CISS_1_244B2207551B8950,1573311890702,,,,0,0,0,,,,,,,,
CISS_1_244B2207551B8950,1573311890801,622,50,-825,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311890802,,,,,,,15,-40,30,,,,,
CISS_1_244B2207551B8950,1573311890802,,,,0,0,0,,,,,,,,
CISS_1_244B2207551B8950,1573311890900,646,42,-817,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311890901,,,,,,,13,-40,30,,,,,
CISS_1_244B2207551B8950,1573311890902,,,,0,0,0,,,,,,,,
CISS_1_244B2207551B8950,1573311890969,,,,,,,,,,26.9,,,,
CISS_1_244B2207551B8950,1573311890969,,,,,,,,,,,,47.86,,
CISS_1_244B2207551B8950,1573311890969,,,,,,,,,,,1006.31,,,
CISS_1_244B2207551B8950,1573311890970,,,,,,,,,,,,,0,
CISS_1_244B2207551B8950,1573311891000,638,60,-827,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311891001,,,,,,,13,-43,31,,,,,
CISS_1_244B2207551B8950,1573311891001,,,,-1,0,0,,,,,,,,
CISS_1_244B2207551B8950,1573311891100,638,44,-825,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311891100,,,,,,,16,-41,32,,,,,
CISS_1_244B2207551B8950,1573311891101,,,,0,0,0,,,,,,,,
CISS_1_244B2207551B8950,1573311891199,638,48,-813,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311891200,,,,,,,14,-40,34,,,,,
CISS_1_244B2207551B8950,1573311891200,,,,0,0,0,,,,,,,,
CISS_1_244B2207551B8950,1573311891299,638,40,-819,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311891300,,,,,,,16,-42,31,,,,,
CISS_1_244B2207551B8950,1573311891300,,,,0,0,0,,,,,,,,
CISS_1_244B2207551B8950,1573311891398,636,50,-815,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311891399,,,,,,,14,-41,33,,,,,
CISS_1_244B2207551B8950,1573311891400,,,,1,-1,0,,,,,,,,
CISS_1_244B2207551B8950,1573311891499,638,21,-806,,,,,,,,,,,
