 id , timestamp , ax , ay , az , gx , gy , gz , mx , my , mz , t , p , h , l , n 
Dummy,1571751097044,89,-1,-1034,,,,,,,,,,,
Dummy,1571751097144,93,0,-1026,,,,,,,,,,,
Dummy,1571751097243,95,0,-1032,,,,,,,,,,,
Dummy,1571751097343,93,-3,-1038,,,,,,,,,,,
Dummy,1571751097443,91,-5,-1026,,,,,,,,,,,
Dummy,1571751097543,89,7,-1034,,,,,,,,,,,
Dummy,1571751097642,99,-11,-1032,,,,,,,,,,,
Dummy,1571751097742,95,7,-1034,,,,,,,,,,,
Dummy,1571751097841,91,0,-1036,,,,,,,,,,,
Dummy,1571751097941,99,21,-989,,,,,,,,,,,
Dummy,1571751098041,81,-3,-1054,,,,,,,,,,,
Dummy,1571751098141,107,3,-1032,,,,,,,,,,,
Dummy,1571751098240,105,1,-1024,,,,,,,,,,,
Dummy,1571751098340,109,-1,-1034,,,,,,,,,,,
Dummy,1571751098439,103,0,-1026,,,,,,,,,,,
Dummy,1571751098539,111,0,-1030,,,,,,,,,,,
Dummy,1571751098638,105,1,-1024,,,,,,,,,,,
Dummy,1571751098738,113,-5,-1028,,,,,,,,,,,
Dummy,1571751098838,105,-1,-1026,,,,,,,,,,,
Dummy,1571751098938,113,1,-1026,,,,,,,,,,,
Dummy,1571751099037,113,-3,-1028,,,,,,,,,,,
Dummy,1571751099137,105,-1,-1034,,,,,,,,,,,
Dummy,1571751099236,81,-9,-1057,,,,,,,,,,,
Dummy,1571751099336,89,0,-1028,,,,,,,,,,,
Dummy,1571751099436,87,25,-1020,,,,,,,,,,,
Dummy,1571751099535,60,3,-1030,,,,,,,,,,,
Dummy,1571751099635,54,7,-1024,,,,,,,,,,,
Dummy,1571751099734,-25,3,-1081,,,,,,,,,,,
Dummy,1571751099834,19,-1,-1032,,,,,,,,,,,
Dummy,1571751099933,11,-3,-1048,,,,,,,,,,,
Dummy,1571751100033,-31,5,-1034,,,,,,,,,,,
Dummy,1571751100133,25,-21,-1007,,,,,,,,,,,
Dummy,1571751100232,-17,-50,-997,,,,,,,,,,,
Dummy,1571751100331,-29,-17,-1075,,,,,,,,,,,
Dummy,1571751100431,17,1,-1042,,,,,,,,,,,
Dummy,1571751100531,37,-5,-1009,,,,,,,,,,,
Dummy,1571751100630,-50,0,-1028,,,,,,,,,,,
Dummy,1571751100730,-89,-27,-1015,,,,,,,,,,,
Dummy,1571751100830,-138,-5,-1015,,,,,,,,,,,
Dummy,1571751100929,-117,5,-1032,,,,,,,,,,,
Dummy,1571751101029,-136,0,-1016,,,,,,,,,,,
Dummy,1571751101128,-142,-1,-1026,,,,,,,,,,,
Dummy,1571751101229,-39,1,-1028,,,,,,,,,,,
Dummy,1571751101328,-27,0,-1038,,,,,,,,,,,
Dummy,1571751101428,-15,0,-1028,,,,,,,,,,,
Dummy,1571751101527,-7,0,-1032,,,,,,,,,,,
